@relation listblock
@attribute index numeric
@attribute index2 numeric
@attribute index3 {red, green}
@attribute is_displaynone {true, false}
@attribute top numeric
@attribute left numeric
@attribute height numeric
@attribute width numeric
@attribute area numeric
@attribute text_len numeric
@attribute own_text_len numeric
@attribute anchor_len numeric
@attribute anchor_num numeric
@attribute anchor2text numeric
@attribute img_num numeric
@attribute child_num numeric
@attribute fake_child_num numeric
@attribute input_area numeric
@attribute area_list numeric
@attribute area_other numeric
@attribute list_num1 numeric
@attribute strict_list_num1 numeric
@attribute indiffent_child_num1 numeric
@attribute list_num2 numeric
@attribute strict_list_num2 numeric
@attribute indiffent_child_num2 numeric
@attribute list_num3 numeric
@attribute indiffent_child_num3 numeric
@attribute big_list_num numeric
@attribute biggest_child_area numeric
@attribute biggest_img_area numeric
@attribute biggest_img_width numeric
@attribute most_img_num numeric
@attribute child_arrange_style numeric
@attribute first_second_child_ratio numeric
@attribute tobottom numeric
@attribute longest_own_text_len numeric
@attribute child_height2width numeric
@attribute tall_child_num numeric
@attribute friend_link_ratio numeric
@attribute full_list_ratio numeric
@attribute full_list_len numeric
@attribute pure_text_len numeric
@attribute has_intro {true, false}
@attribute has_sub_title {true, false}
@attribute is_sub_title {true, false}
@attribute has_merged {true, false}
@attribute is_bold {true, false}
@attribute is_time {true, false}
@attribute list_of_subtitle {true, false}
@attribute list_of_keyword {true, false}
@attribute has_repeat_sb_structure {true, false}
@attribute has_other_block {true, false}
@attribute child_is_small {true, false}
@attribute has_one_child {true, false}
@attribute is_list {0, 1}
@data
11,5,green,false,1.5704100772969165,0.0,1.5374753309166493,1.5700940797193232,1.5707729185552006,1.5208379310729538,0.0,1.5208379310729538,1.373400766945016,1.5707963267948966,0.0,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707729185552006,0.0,0.0,0.0,0.0,0.7853981633974483,1.5638519939798812,0.0,0.0,0.0,0.0,0.0,1.5208379310729538,0.0,false,false,false,false,false,false,false,false,false,false,false,true,1
12,6,red,false,1.5657963684609384,1.5681647539222465,1.5664860086610826,1.5693257396197138,1.5707899880525031,1.373400766945016,0.0,1.373400766945016,0.7853981633974483,1.5707963267948966,0.0,1.3258176636680326,1.3258176636680326,1.5707668526142873,0.0,1.5707892606558351,0.0,0.0,0.0,1.3258176636680326,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707758349916208,0.0,0.0,0.0,1.1071487177940904,0.9517302722122685,1.5686595779100656,0.0,0.09479697943698194,0.0,0.0,0.0,1.373400766945016,0.0,false,false,false,false,false,false,false,false,false,false,false,false,0
13,7,red,false,1.5665946708480247,1.5664860086610826,1.5690692127954282,1.56975466050499,1.570794527716025,1.567931005123524,0.0,1.5656417332723562,1.550798992821746,0.8966843153060287,1.5208379310729538,1.3258176636680326,1.3258176636680326,0.0,0.0,1.5707945208410279,0.0,0.0,0.0,1.3258176636680326,0.0,0.0,1.2490457723982544,0.0,1.1071487177940904,1.57079059140294,0.0,0.0,1.4288992721907328,1.1071487177940904,0.7853981633974483,1.565845872186053,0.0,0.14970654476894138,0.0,0.0,0.0,1.567931005123524,1.564344803401928,false,false,false,false,false,false,false,false,false,true,false,false,0
14,7,green,false,0.0,0.0,1.5291537476963082,1.5700940797193232,1.5707670664952795,1.5182132651839548,0.0,1.5182132651839548,1.3258176636680326,1.5707963267948966,0.0,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707670664952795,0.0,0.0,0.0,0.0,0.7853981633974483,1.569791302007652,0.0,0.0,0.0,0.0,0.0,1.5182132651839548,0.0,false,false,false,true,false,false,false,false,false,false,false,true,1
15,8,red,false,1.5636022063046044,0.0,1.5413930385908916,1.5700940797193232,1.5707756724657522,1.5413930385908916,0.0,1.5413930385908916,1.460139105621001,1.5707963267948966,0.0,0.7853981633974483,1.460139105621001,0.0,1.5707663147901036,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.7853981633974483,1.5704962067558883,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,1.5701269828520188,0.0,0.3339450718448941,0.0,0.0,0.0,1.5413930385908916,0.0,false,false,false,false,false,false,false,false,false,false,true,true,1
16,8,green,false,1.569854707487504,1.5662918527563288,1.567359914204909,1.5657963684609384,1.570779144664314,1.5606956602095747,0.0,1.5602703997631713,1.4711276743037347,1.528715919353006,0.0,0.7853981633974483,1.1071487177940904,0.0,1.570779144664314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,1.570776901775474,0.0,0.0,0.0,1.1071487177940904,1.459716986608504,1.567611624185913,0.0,0.6304459549849453,0.7853981633974483,0.7853895724059622,0.0,1.5606956602095747,1.3258176636680326,false,true,false,true,false,false,true,true,false,false,true,true,1
17,10,red,false,0.0,0.0,1.5682963320032104,1.5701018824620847,1.5707945906837855,1.545160918273219,0.0,1.5253730473733196,1.446441332248135,0.9129077216126866,0.7853981633974483,1.1071487177940904,1.2490457723982544,1.5707600949108544,1.5707945906837855,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.7853981633974483,0.0,1.5707944993095164,0.0,1.5682963320032104,0.7853981633974483,1.2490457723982544,1.4633173670950566,1.5232132235179132,0.0,0.14515247286939847,0.0,0.0,0.0,1.545160918273219,1.512040504079174,false,false,false,false,false,false,false,false,false,false,false,true,0
18,11,red,false,1.5703836153036779,1.565049263631693,1.5658702582664736,1.5692065030151086,1.5707884951440632,1.56279649745501,0.0,1.56279649745501,1.5405025668761214,1.5707963267948966,0.0,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707884951440632,0.0,0.0,0.0,0.0,0.7853981633974483,1.565615026010658,0.0,0.0,0.0,0.0,0.0,1.56279649745501,0.0,false,false,false,false,false,false,false,false,false,false,false,true,1
19,11,green,false,1.5704191106679373,1.565049263631693,1.5634435181282058,1.569866094505077,1.5707894868496164,1.5395564933646284,0.0,1.5395564933646284,1.446441332248135,1.5707963267948966,0.0,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707894868496164,0.0,0.0,0.0,0.0,0.7853981633974483,1.5395564933646284,0.0,0.0,0.0,0.0,0.0,1.5395564933646284,0.0,false,false,false,false,false,false,false,false,false,false,true,true,1
20,12,red,false,1.564844016140305,1.5662509035538374,1.5637541896865845,1.5697963271282298,1.5707892845413756,1.5615373321327735,0.0,1.4056476493802699,1.4711276743037347,0.058755822715722696,1.460139105621001,1.1071487177940904,1.1071487177940904,0.0,1.5707859101282304,1.5707745876644652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,1.5707859101282304,1.5706616647973266,1.5601584302193552,1.460139105621001,1.1071487177940904,1.1239538583091324,1.5689547082507342,0.0,0.07088105588497402,0.0,0.0,0.0,1.5615373321327735,1.5609927193156006,true,false,false,true,false,false,false,false,false,true,false,false,0
